appid,name,release_date,english,developer,publisher,platforms_windows,platform_mac,platform_linux,required_age,categories,genres,achievements,positive_ratings,negative_ratings,average_playtime,owners,price
678830,Buried Alive VR,4/3/2018,1,Room 8 Studio,Trapped,1,0,0,universal,Single-player,Adventure,0,5,2,0,0-20000,0.79
420660,Burnin' Rubber 5 HD,2/14/2018,1,Xform,Xform,1,0,0,universal,Single-player,Action,12,84,10,99,0-20000,7.19
927050,Burning Instinct,9/10/2018,1,Merlin Beer,Merlin Beer,1,0,0,universal,Single-player,Adventure,41,5,0,0,0-20000,2.89
829080,Burst Into,4/4/2018,1,ARGames,Metal Fox,1,0,0,universal,Single-player,Action,1,18,12,0,0-20000,2.09
679260,Bus Driver Simulator 2019,1/31/2018,1,KishMish Games,KishMish Games,1,0,0,universal,Single-player,Indie,21,335,261,0,50000-100000,9.99
515180,Bus Simulator 18,6/13/2018,1,stillalive studios,astragon Entertainment,1,0,0,universal,Single-player,Simulation,23,1585,698,0,100000-200000,26.99
774831,Business clicker,1/5/2018,1,Dexion Games,Dexion Games,1,0,0,universal,Single-player,Casual,0,6,37,0,0-20000,0.79
881930,Business Tycoon Billionaire,7/5/2018,1,Business Tycoon,Business Tycoon,1,0,0,universal,Single-player,Adventure,0,1,3,0,0-20000,0.79
778570,Bustories,4/19/2018,1,Nikita P.,Nikita P.,1,0,0,universal,Single-player,Adventure,2,24,10,0,0-20000,2.99
826160,ButcherBoy,7/11/2018,1,Casual.US,Casual.US,1,1,1,universal,Single-player,Casual,4989,18,16,0,0-20000,0.79
891610,Butterfly🦋 couple,7/13/2018,1,Sly,SlyGames,1,1,1,universal,Single-player,Casual,1,3,1,0,0-20000,0.78
996280,Buttle Tank,12/22/2018,1,Trash Format,Xitilon,1,0,0,universal,Single-player,Action,0,6,2,0,0-20000,0.79
779960,Button Music,5/3/2018,1,IDALGAME,IDALGAME,1,0,0,universal,Single-player,Indie,8,44,8,0,0-20000,1.69
892470,BVRGER VAN,7/27/2018,1,Patchwork Games,Patchwork Games,1,0,0,universal,Single-player,Casual,0,5,0,0,0-20000,5.19
760330,BYTEPATH,2/23/2018,1,adnzzzzZ,adnzzzzZ,1,0,1,universal,Single-player,Action,40,151,2,0,0-20000,1.69
